Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
17b6876d-36ad-0a4f-1236-e80ba081f089,1912-08-17,1962-02-14,999-12-9224,S99931361,X76053199X,Mrs.,Beverly445,VonRueden376,,Lang846,M,white,nonhispanic,F,Balve  Nordrhein-westfalen  DE,735 Stokes Track Suite 91,Bielefeld,Nordrhein-westfalen,Bielefeld,33617,51.92554167443363,8.544792692331947,0.0,14386.35
e33ba1fd-1f6b-70f6-3796-ccd4a3f86391,1940-02-11,,999-87-8560,S99910393,X45513191X,Ms.,Almeda560,Miller503,,,S,white,nonhispanic,F,Gelsenkirchen  Nordrhein-westfalen  DE,749 Gutkowski Branch Unit 97,Bielefeld,Nordrhein-westfalen,Bielefeld,33607,52.04285205925937,8.630096480188987,0.0,23017.57
8757bb2f-9f7f-9986-bc93-80e90640a1e8,2010-06-23,,999-96-2948,,,,Alec433,Kuhlman484,,,,white,nonhispanic,M,Bottrop  Nordrhein-westfalen  DE,259 Koepp Rapid Unit 10,Bielefeld,Nordrhein-westfalen,Bielefeld,33719,52.00773657314543,8.524378019531646,0.0,3085.9
7b18b038-b4a1-9d0a-dc53-6e420d2cc092,2017-07-09,,999-31-8063,,,,Karan473,Nitzsche158,,,,white,nonhispanic,F,Burbach  Nordrhein-westfalen  DE,1000 Hyatt View,Bielefeld,Nordrhein-westfalen,Bielefeld,33649,52.015160051900764,8.604320610793566,0.0,2985.42
28324d38-6a13-9e54-6e05-67258b6fb4d5,2003-09-11,,999-65-9202,S99951014,,,Tyson541,Christiansen251,,,,white,nonhispanic,M,Ratingen  Nordrhein-westfalen  DE,490 Goldner Burg,Bielefeld,Nordrhein-westfalen,Bielefeld,33602,52.07204054577492,8.561437122725728,0.0,4122.63
2b8cb71a-a5d0-0944-415b-bacba96192d5,1952-02-03,,999-29-8084,S99930646,X29209418X,Mr.,Leandro563,Simonis280,,,M,white,nonhispanic,M,Neuss  Nordrhein-westfalen  DE,507 Larson Underpass,Bielefeld,Nordrhein-westfalen,Bielefeld,33659,52.00200484425342,8.560230101177291,0.0,135197.31
624b5831-7190-d273-0658-80d47e25a46e,1991-05-04,,999-29-8842,S99944197,X81201558X,Mr.,Curt84,Grant908,,,M,white,nonhispanic,M,Essen  Nordrhein-westfalen  DE,1088 Raynor Parade,Bielefeld,Nordrhein-westfalen,Bielefeld,33604,52.037403147257265,8.59290430447856,0.0,22705.14
e4bb9688-d979-2064-0369-ac91dce55aef,1998-09-05,,999-15-7954,S99918533,X78250717X,Mr.,Jermaine675,Hauck852,,,,white,nonhispanic,M,Bonn  Nordrhein-westfalen  DE,150 Bahringer Run Suite 48,Bielefeld,Nordrhein-westfalen,Bielefeld,33613,51.96226226978104,8.481447569791529,0.0,30688.53
86de8da0-08ba-2c85-c8a5-3208a15a97e7,2008-07-11,,999-91-7622,,,,Rudolph554,Stiedemann542,,,,white,nonhispanic,M,Bielefeld  Nordrhein-westfalen  DE,990 Bailey Esplanade,Bielefeld,Nordrhein-westfalen,Bielefeld,33719,52.01790067568304,8.570316950150866,0.0,3680.34
4607e383-5a1c-f8b8-c7ae-59b71d732c55,1990-11-26,,999-46-4901,S99991244,X51677338X,Mr.,Pasquale620,Hand679,,,S,white,nonhispanic,M,Remscheid  Nordrhein-westfalen  DE,863 Gerlach Overpass Suite 10,Bielefeld,Nordrhein-westfalen,Bielefeld,33649,51.956201136370105,8.464692631450067,0.0,7681.21
