Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
c4aea0f3-6a6f-3710-82c4-ad1913dd1375,67703e98-17ea-3706-aef7-e1eb628dfedd,Louise871 Grant908,F,GENERAL PRACTICE,Remterweg 13a,Bielefeld,Nordrhein-westfalen,33604,52.0081306,8.5322284,1191
7e04a320-2f7b-307a-82e3-304e490ed2cb,f9cfdbd8-3f69-3b07-9219-129af061acb3,Danny396 Wilderman619,M,GENERAL PRACTICE,Kiskerstraße 15,Bielefeld,Nordrhein-westfalen,33604,52.023177,8.5214898,11859
e0222084-e3b8-3221-be55-d7d1d4b07a21,1a0f2120-ddd9-3d26-ad7e-a7f140c5b94a,Laurena366 Wyman904,F,GENERAL PRACTICE,Karl-Siebold-Weg 44,Bielefeld,Nordrhein-westfalen,33604,52.0027825,8.5333355,1692
60674914-bc75-3123-ad34-d6116d4660f3,aa85a4ac-d0e8-3334-b870-ee4e0af7de2f,Lauren941 Brown30,M,GENERAL PRACTICE,Teutoburger Straße 50,Bielefeld,Nordrhein-westfalen,33604,52.0125062,8.5444956,6136
785aeb24-9866-3d44-af07-023f6fe12071,be13aac5-65a0-3247-9711-8588c21c4628,Linh535 Jast432,F,GENERAL PRACTICE,An der Rosenhöhe 27,,Nordrhein-westfalen,,51.9823113,8.530265,8439
ceebf2f7-661b-3ec4-bb44-4e6eee8ced08,a2f92a79-1d79-3335-a554-b43d55657bb2,Cleo27 Lindgren255,F,GENERAL PRACTICE,Reckenberger Straße 19,Gütersloh,Nordrhein-westfalen,33330,51.8979988,8.3829917,11
c81289e0-9249-378c-ad09-9d44be52c1b0,94bf3448-21e1-3671-925b-4822c783d97f,Ulysses632 Schumm995,M,GENERAL PRACTICE,Hindenburgstraße 56,Bünde,Nordrhein-westfalen,32257,52.1975705,8.5935559,76
4641cb75-2922-312b-98d5-c0eaf9278888,b794bd15-684a-3128-a8c2-5eb56b7f8cff,Sanjuanita786 O'Conner199,F,GENERAL PRACTICE,,Herford,Nordrhein-westfalen,32052,52.1125652,8.6756965,1458
6fd9594d-ec47-3f37-bf0f-76e39bd5bd9e,52b4a8e2-08f7-333e-89e6-7066bc5a0fe2,Roxann426 Gerhold939,F,GENERAL PRACTICE,Oelmühlenstraße 30,Bielefeld,Nordrhein-westfalen,33604,52.0156225,8.5449718,12611
d277c3d2-9212-3fef-ab76-c24f66e3fec6,ab077ec4-4e35-3c63-bae4-a0bac10a38c6,Royce974 Gutmann970,M,GENERAL PRACTICE,Goldstraße 52,Oerlinghausen,Nordrhein-westfalen,33813,51.9711377,8.7047867,320
